URL,CLASS
https://issafrica.org/iss-today/time-to-tackle-violence-against-women-in-mali,Analytical Report
http://www.understandingwar.org/backgrounder/russia-review-putins-%E2%80%9Cpeacekeepers%E2%80%9D-will-support-russian-wars,Analytical Report
http://www.understandingwar.org/backgrounder/russian-president-putin-wins-upset-victory-nagorno-karabakh,Analytical Report
http://www.understandingwar.org/backgrounder/warning-intelligence-update-iran-increases-pressure-us-forces-iraq,Analytical Report
http://www.understandingwar.org/backgrounder/russia-turkey-competition-escalates-across-theaters,Analytical Report
https://www.middleeasteye.net/news/uk-foreign-aid-cut-impact-middle-east-yemen-syria,Analytical Report
https://www.middleeasteye.net/opinion/israel-palestine-deal-century-biden-end,Analytical Report
https://www.middleeasteye.net/news/israel-saudi-arabia-netanyahu-mbs-secret-meeting-meaning,Analytical Report
https://www.defenseindustrydaily.com/f18-hornet-fleets-keeping-em-flying-02816/,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-august-19-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-august-17-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-august-07-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-july-1-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-may-20-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-may-18-2020,Situation Report
http://www.warfare.today/2018/05/01/rise-of-the-islamic-state-in-west-africa-iswa/,Situation Report
http://www.warfare.today/2017/07/24/operation-trenton-the-british-army-in-south-sudan/,Situation Report
http://www.warfare.today/2017/05/12/operation-toral-the-british-army-in-afghanistan/,Situation Report
http://www.warfare.today/2017/01/24/sitrep-ivory-coast-mutiny/,Situation Report
https://www.criticalthreats.org/briefs/pakistan-security-brief/pakistan-security-brief-august-31-2011,Situation Report
https://www.criticalthreats.org/briefs/iran-file/iran-file-january-29-2020,Situation Report
https://www.criticalthreats.org/briefs/iran-file/iran-file-december-16-2019,Situation Report
https://counteriedreport.com/egyptian-military-kills-77-terrorists-in-northern-sinai-report/,Incident Report
https://www.bbc.co.uk/news/world-europe-54533486,Incident Report
https://www.bbc.co.uk/sport/football/54528942,Incident Report
https://www.bbc.co.uk/news/world-europe-54522203,Incident Report
https://www.bbc.co.uk/news/av/world-54533860,Incident Report
https://www.bbc.co.uk/news/world-asia-54538508,Incident Report
https://www.bbc.co.uk/news/world-asia-54538679,Incident Report
https://www.expressandstar.com/news/local-hubs/sandwell/wednesbury/2020/10/13/teenage-terror-suspect-arrested-in-wednesbury/,Incident Report
https://www.expressandstar.com/news/local-hubs/sandwell/west-bromwich/2020/10/08/eight-arrested-and-weapons-seized-after-disorder-in-west-bromwich-town-centre/,Incident Report
https://news.sky.com/story/terrorist-and-radicalised-inmate-convicted-of-trying-to-kill-guard-at-top-security-jail-12098497,Incident Report
https://www.newyorker.com/magazine/2013/09/30/the-shadow-commander,Profile Report
https://www.newyorker.com/magazine/2020/08/31/can-bidens-center-hold,Profile Report
https://www.bbc.co.uk/news/world-middle-east-40354415,Profile Report
https://www.politico.com/magazine/story/2017/06/13/saudi-arabia-middle-east-donald-trump-215254,Profile Report
https://www.politico.com/magazine/story/2019/10/31/saudi-arabia-ambassador-us-relations-229866,Profile Report
https://www.politico.com/magazine/story/2019/09/30/fiona-hill-russia-trump-adviser-228758,Profile Report
https://www.politico.com/magazine/story/2019/05/12/richard-holbrooke-biography-review-history-analysis-226871,Profile Report
https://www.politico.com/magazine/story/2019/04/21/democrats-foreign-policy-tom-malinowski-226703,Profile Report
https://www.adl.org/resources/profiles/al-qaeda,Profile Report
https://www.adl.org/resources/profiles/anonghost-team,Profile Report
https://www.bbc.co.uk/news/world-africa-15336689,Profile Report
https://www.adl.org/resources/backgrounders/nationalist-social-club-nsc,Profile Report
https://www.adl.org/resources/backgrounders/atomwaffen-division-awd,Profile Report
https://www.adl.org/resources/backgrounders/legion-of-saint-ambrose-losa,Profile Report
https://www.adl.org/resources/backgrounders/neturei-karta,Profile Report
https://www.adl.org/resources/backgrounders/abbas-hamideh,Profile Report
https://www.adl.org/resources/backgrounders/new-jersey-european-heritage-association-njeha,Profile Report
https://www.adl.org/resources/backgrounders/keystone-state-skinheadskeystone-united,Profile Report
https://www.adl.org/resources/backgrounders/loyal-white-knights-of-the-ku-klux-klan,Profile Report
https://www.adl.org/resources/backgrounders/shield-wall-network-swn,Profile Report
https://www.criticalthreats.org/analysis/profile-ahmad-umar-abu-ubaidah,Profile Report
https://www.criticalthreats.org/analysis/profile-ahmed-abdi-godane-mukhtar-abu-zubair,Profile Report
